"PT","AU","TI","SO","AB","DI","PY"
" B"," Yakun YuFangming RuanWei ZhuXiangdong YangGuangcan Li"," Low repeatibility investigation of parameters measurement in non-conductelectrostatic discharge"," 2014 International Conference on Lightning Protection (ICLP)"," Several factors of gas pressure, electrode velocity to the target,temperature, relative humidity, etc., can be measured based on our newexperiment and research system. Analysis and discussion was conductedwith our newly invented measurement system on low repeatability indischarge parameters measurement, which is affected strongly by velocityof electrode to the target and gas pressure variation. The range ofelectrostatic discharge generator displace is 10cm-40cm. Electrodevelocity moving to the target of Deltanu=14cm/s result in peak currentchange of DeltaIap0.5A. Gas pressure variation of Deltap=0.06 atm createcurrent peak value variation of DeltaIap0.5A, shown drastic change ofdischarge current peak value and discharge waveform. Initial validationwas given on strong impact of electrode velocity to the target and airpressure on discharge parameters. A brief analysis was provided forpossible effect mechanism of electrode velocity and air pressure ondischarge parameters in short gap electrostatic discharge."," 10.1109/ICLP.2014.6973324"," 2014"
" J"," Pascu, A. R.Timar-Gabor, A."," ELECTRONIC COMPONENTS AS LUMINESCENCE RETROSPECTIVE ACCIDENT DOSIMETERS"," ROMANIAN REPORTS IN PHYSICS"," This study investigated the dosimetric properties of various electroniccomponents extracted from a new generation mobile phone using opticallystimulated luminescence and thermoluminescence. The studied resistorsexhibit high linearity in the dose range of interest, signalrepeatibility and reproducibility, along with a minimum detectable doseof 16 mGy after preheating.",NA," 2014"
" J"," Zhang RuihuaLi LiqinWang ChenLu XiaojingShi TongXu JianfuSong LiangcaiWang Huifang"," Preparation,characterization and brain targeting efficiency in mice ofhuperzine A-PLGA nanoparticle"," Journal of International Pharmaceutical Research"," Objective To prepare huperzine A(HupA)-poly(lactic-co-glycolicacid)(PLGA) nanoparticles(HupA-PLGA-NP) and to study their distributionproperty in mice. MethodsHupA-PLGA-NP were prepared by emulsion solventevaporation method with PLGA as the carrier material, and theformulations were optimized by orthogonal design test. Nanoparticleswere characterized by transmission electron microscopy (TEM) and laserparticle diameter analyzer. Encapsulation efficiency (EE) was detectedby HPLC. Distribution of nanoparticles in mice was evaluated by in vivoimaging system. ResultsThe nanoparticles prepared by the optimalpreparation were uniform spherical particles by TEM. Mean diameter,polydisperse index and Zeta potential of nanoparticles were(46.491.37)nm, (0.310.01) and (-38.31.56) mV, respectively. EE was(28.451.52)%. The verifying experiments indicated that the repeatibilityof the experiment was satisfactory. Results of in vivo imaging confirmedthat nanoparticles with the diameter of about 50 nm could crossblood-brain barrier into brain and had good sustained-release effect.ConclusionHupA-PLGA-NP are found to have smaller particle size,sustained release of HupA and elevated drug concentration in brain.",NA," 2014"
" J"," Li Xue-MinJia Guang-QunWang LeiCao Yan-ZhongZhang Jin-JieSun Hui-YuanHuo Shao-Yu"," Determination of delta C-13 Volues of Wine Ethanol by Isotope Ratio MassSpectrometry"," CHINESE JOURNAL OF ANALYTICAL CHEMISTRY"," An elementary analysis. isotope ratio mass spectrometric (EA-IRMS)method was developed for the determination of delta C-13 of ethanol inwine. Three distillation apparatuses, including rotary evaporator, all.glass distillation device and fully automatic distillation controlsystem, were compared for wine ethanol distillation. The analyticalconditions for EA-IRMS were optimized. The repeatibility andreproducibility were satisfactory with relative standard deviations lessthan 0.25 parts per thousand. The delta C-13 values of ethanol in twowine samples from FIT. PTS were determined and the accuracy was betterthan 0.2 parts per thousand. 40 wine samples from 16 countries andregions were determined by both liquid chromatography. isotope ratiomass spectrometry (LC-IRMS) and this method, and the delta C-13 valuesof ethanol of these samples were between -23.90 parts per thousand and-28.29 parts per thousand. Delta delta((EA-LC)max) of the results wasless than 0.3 parts per thousand, and a strong correlation (R-2 =0.9749) was found between the two methods. The isotope fractionationeffect was not found in this method, which was suitable for thedetermination of delta C-13 of ethanol in wine."," 10.3724/SP.J.1096.2014.30587"," 2014"
" J"," Zhou HaipengWen JieDeng HongwuJia Zhouxia"," Experiment of multi-component hydrocarbon fuels RP-3 thermalconductivity"," Journal of Beijing University of Aeronautics and Astronautics"," Based on the classic trasient hot-wire princeple, the experimentapparatus for the measurement of multicomponent hydrocarbon fuel thermalconductivity under high temperature and high pressure was introduced.The calibration results of absolute ethyl alcohol, toluene and highpressure nitrogen show that the maxmum deviation for liquid thermalconductivity is less than 1% and for gas is less than 3%. After that,conductivity of domestic hydrocarbon fuel RP-3 was measured under 298 -430 K and 0. 1-5 MPa using this apparatus and the results show a goodrepeatibility. It is of great importance to improve conductivitymeasuring mehtods for fluid under super-critical pressure.",NA," 2013"
" J"," Menda, YusufPonto, Laura L. BolesSchultz, Michael K.Zamba, Gideon K. D.Watkins, G. LeonardBushnell, David L.Madsen, Mark T.Sunderland, John J.Graham, Michael M.O'Dorisio, Thomas M.O'Dorisio, M. Sue"," Repeatability of Gallium-68 DOTATOC Positron Emission TomographicImaging in Neuroendocrine Tumors"," PANCREAS"," Objective: To evaluate the repeatability of gallium-681,4,7,10-tetraazacyclododecane-N,N',N '',N'''-tetraacetic(DOTA)-D-Phe(1)-Try(3)-octreotide (Ga-68-DOTATOC) positron emissiontomography (PET) in neuroendocrine tumors.Methods: Five patients with neuroendocrine tumors were imaged withGa-68-DOTATOC PET twice within 5 days. Maximum and mean standardizeduptake values (SUVmax and SUVmean) and kinetic parameters (K-Patlak andK-influx) of target lesions were measured. The repeatability of thesemeasurements was investigated.Results: Forty-seven target lesions were identified on whole-body PETand 21 lesions on dynamic images. There was excellent repeatability withintraclass correlation coefficient of 0.99 for SUVmax, SUVmean, andK-Patlak, and 0.85 for K-influx. The median absolute percent differencesand the interquartile ranges (IQR) between 2 scans for SUVmax andSUVmean were 7.4% (IQR, 14.1%) and 9.3% (IQR, 10.6%), respectively. Themedian absolute percent differences for K-Patlak and K-influx were 12.5%(IQR, 12.6%) and 29.9% (IQR, 22.4%), respectively. The SUVmax of targetlesions did not differ by more than 25% between the 2 scans.Conclusions: Ga-68-DOTATOC PET imaging of neuroendocrine tumors ishighly reproducible. A difference of more than 25% in SUVmax representsa change that is larger than the measurement error observed on repeatedstudies and should reflect a significant change in the biologicalcharacter of the tumor.",NA," 2013"
" J"," Chen, JingWang, Shu-MeiMeng, JiangSun, FeiLiang, Sheng-Wang"," [Simultaneous quantitative analysis of five alkaloids in Sophoraflavescens by multi-components assay by single marker]."," Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal ofChinese materia medica"," OBJECTIVE: To establish a new method for quality evaluation and validateits feasibilities by simultaneous quantitative assay of five alkaloidsin Sophora flavescens.METHOD: The new quality evaluation method, quantitative analysis ofmulti-components by single marker (QAMS), was established and validatedwith S. flavescens. Five main alkaloids, oxymatrine, sophocarpine,matrine, oxysophocarpine and sophoridine, were selected as analytes toevaluate the quality of rhizome of S. flavescens, and the relativecorrection factor has good repeatibility. Their contents in 21 batchesof samples, collected from different areas, were determined by bothexternal standard method and QAMS. The method was evaluated bycomparison of the quantitative results between external standard methodand QAMS.RESULT: No significant differences were found in the quantitativeresults of five alkaloids in 21 batches of S. flavescens determined byexternal standard method and QAMS.CONCLUSION: It is feasible and suitable to evaluate the quality ofrhizome of S. flavescens by QAMS.",NA," 2013"
" J"," Chen JingWang ShumeiMeng JiangSun FeiLiang Shengwang"," Simultaneous quantitative analysis of five alkaloids in Sophoraflavescens by multi-components assay by single marker"," China Journal of Chinese Materia Medica"," Objective: To establish a new method for quality evaluation and validateits feasibilities by simultaneous quantitative assay of five alkaloidsin Sophora flavescens. Method: The new quality evaluationmethod,quantitative analysis of multi-components by single marker(QAMS),was established and validated with S. flavescens. Five mainalkaloids,oxymatrine,sophocarpine, matrine,oxysophocarpine andsophoridine,were selected as analytes to evaluate the quality of rhizomeof S. flavescens,and the relative correction factor has goodrepeatibility. Their contents in 21 batches of samples,collected fromdifferent areas,were determined by both external standard method andQAMS. The method was evaluated by comparison of the quantitative resultsbetween external standard method and QAMS. Result: No significantdifferences were found in the quantitative results of five alkaloids in21 batches of S. flavescens determined by external standard method andQAMS. Conclusion: It is feasible and suitable to evaluate the quality ofrhizome of S. flavescens by QAMS.",NA," 2013"
" J"," Rexhepi, F.Abazi, S.Dobroshi, F."," Compare of three derivatization methods and determination of fatty acidby GC/MS in egg yolk."," Journal of International Environmental Application & Science"," Fatty acid present in food product such as fish, meat, egg and thosecompounds have influence for human health especially polyunsaturatedfatty acid (PUFA). Today next research aim is to find one best methodfor derivatization step which will include all fatty acid present in thesample and analysis with GC/MS to be possible and easy fordetermination. For this research were used three different method forderivatization of total fatty acid in fresh egg yolk, in situ method,conventional method and third method using TMS-DM which had greatrecovery values but precision, repeatibility and reproducibility werenot acceptable. In situ method can use in fast and routine analysis andconventional method can used for determination of the different lipidclasses.",NA," 2013"
" J"," Romero Martinez, K.Perez Guevara, M. T.Garcia Agramonte, N.Sanchez Dieguez, E."," Validation of UMELISA HBsAg PLUS system based on umbilical cord serumsamples."," Revista Cubana de Medicina Tropical"," Introduction: The selection and the development of analytical methodshave always been an important issue for testing laboratories. Theadoption of a method requires validation because the objective is toprove the capability of a method as well as the competencies of thelaboratory to make an specific assay. The range of applications ofUMELISA HbsAg PLUS system does not include the use of serum samplestaken from the umbilical cord blood; however the use of placenta as rawmaterial is certified with this kind of sample. Objective: To validatethis system for umbilical cord serum sample taking into account the needof proving that this change does not affect the performance parametersof the system. Methods: Three panels of samples were used to studyspecificity, agreement with the reference system Hepanostika HbsAgUni-Form II, robustness, precision at two levels of repeatibility(intrassay) and intermediate precision (interassay) and detection limit.Results: Validation of the system showed the following indicators:specificity and agreement of 100%, robust system against temperatureschanges between 35 and 38°C, high intraassay precision (4.65%) andinterassays (VC less than 20%), detection limit corresponding to 1/10000 dilution rate. Conclusions: Obtained results showed that UMELISAHbsAg PLUS system may be used to detect HBsAg in umbilical cord serumsamples.",NA," 2013"
" J"," Laviola, Bruno GalveasAlves, Alexandre AlonsoGurgel, Fabio de LimaRosado, Tatiana BarbosaRocha, Rodrigo BarrosAlbrecht, Julio Cesar"," Estimates of genetic parameters for physic nut traits based in thegermplasm two years evaluation"," CIENCIA RURAL"," In spite of increasingly widespread interest in planting physic nut,breeding efforts are still in its infancy. In that context, an importantresource recently established aiming future breeding efforts was theassembly of a germplasm bank with near 200 accessions. The objective ofthis study was to estimate genetic parameters, repeatibilitycoefficients and genetic correlation between seven traits, measured in110 accessions (half sib families) of this germplasm bank in differentstages of development. The results show that higher relative values ofadditive variance were only found for yield and height, and theexistence of low environmental variation (either of temporary orpermanent nature) among plots within blocks. Given the highrepeatibility values found for all traits, on average three measurementsare necessary to predict, accurately and efficiently, the true breedingvalue of an individual. Based on the results of genetic correlations,breeding effort should initially be use track trees with increased stemdiameter, elevated number of branches and canopy volume so as toincrease the chances of finding an exceptionally highly productive tree.",NA," 2012"
" J"," Sommella, EduardoCacciola, FrancescoDonato, PaolaDugo, PaolaCampiglia, PietroMondello, Luigi"," Development of an online capillary comprehensive 2D-LC system for theanalysis of proteome samples"," JOURNAL OF SEPARATION SCIENCE"," In the present contribution, a fully automated capillary comprehensivetwo-dimensional LC (LCxLC) method, for proteomic analysis, was developedfor the first time. The investigated platform was characterized by thecoupling of high-pH RP with low-pH RP separations thus ensuring thegeneration of high peak capacity despite the employment of identicalstationary phases. The use of capillary columns in both dimensionsallowed to reduce mobile-phase consumption and enhance sensitivity.Fraction transfer from the first to the second dimension was performedby means of two 2-position 6-port nano-switching valves, under stop-flowconditions. Values as high as 1208 and 955 were obtained for thetheoretical and practical peak capacity, respectively. The investigatedLCxLC system showed good retention time repeatibility with RSD valuesranging from 0.8 to 6.0% for the first dimension and from 1.0 to 3.0%for the second dimension, respectively. RSD peak area values below 9.5%were also attained, thus demonstrating the precision of the LCxLC methodemployed."," 10.1002/jssc.201100877"," 2012"
" J"," Kang, YuhongVerma, MohiniLiu, TongOrlowski, Marius K."," Formation and Rupture of Multiple Conductive Filaments in a Cu/TaOx/PtDevice"," ECS SOLID STATE LETTERS"," In a Cu/TaOx/Pt resistive device multiple Cu conductive nanofilamentscan be formed and ruptured successively between the active Cu and inertPt electrodes. The key parameters to repeatable multi-filamentsswitching cycles are the appropriate choice of compliance current windowfor individual nanofilament formation and the choice of bipolar andunipolar reset. Controlled formation and rupture of multiple filamentsmay enable multilevel storage capability in a single Conductive BridgeRandom Access Memory cell if the repeatibility issue can be successfullyaddressed. (C) 2012 The Electrochemical Society."," 10.1149/2.001206ssl"," 2012"
" J"," Li, WeiWang, XiaoruLi, Yue"," Variation in Floral Phenological Synchronization in a Clonal SeedOrchard of Pinus tabuliformis in Northeast of China"," SILVAE GENETICA"," Flowering phenology in an orchard is a crucial factor affecting the geneexchange among clones and consequently changing genetic composition ofthe seed crop. Pinus tabuliformis is now at the crucial period fromfirst generation clonal seed orchards to advanced generation seedorchards in China. In this study, variation and stability in floralphenological synchronization of all the clones and possible matingpairs, in terms of an index of phenological overlap, were observed in afirst generation clonal seed orchard which located in northeast ofChina. Results showed that significant variations occurred in the clonesand mating pairs. This kind of variation was apparently related withtemperature and humidity of the research site. With increasing age,levels of flowering synchronization were likely to rise in the clonesand mating pairs. In general, the average flowering synchronization ofmale parents was slightly higher than that of female parents, femalemanagement in a seed orchard should be paied more attention. Floweringtime was under strong genetic control and this genetic control wasstronger in the female flowering process than of the males in terms ofboard sense heritability and year to year correlation analysis.Flowering synchronization of female parents was positively correlatedbetween most years and can be a reliable reference for early and latepredication in Pinus tabuliformis seed orchard during stage of initialseed harvest to stable seed production. According to their averagelevels of flowering synchronization, 49 clones in the first generationclonal seed orchard were divided into 11 different groups. Results ofthis paper provided the basic information for first generation seedorchard management and advanced seed orchard establishment of Pinustabuliformis.",NA," 2012"
" J"," Yuhong KangVerma, M.Tong LiuOrlowski, M.K."," Formation and Rupture of Multiple Conductive Filaments in a Cu/TaOx/PtDevice"," ECS Solid State Letters"," In a Cu/TaOx/Pt resistive device multiple Cu conductive nanofilamentscan be formed and ruptured successively between the active Cu and inertPt electrodes. The key parameters to repeatable multi-filamentsswitching cycles are the appropriate choice of compliance current windowfor individual nanofilament formation and the choice of bipolar andunipolar reset. Controlled formation and rupture of multiple filamentsmay enable multilevel storage capability in a single Conductive BridgeRandom Access Memory cell if the repeatibility issue can be successfullyaddressed."," 10.1149/2.001206ssl"," 2012"
" J"," Zhang ShenSu Zexuan"," Prelimilary study on digital reconstructing of orthotopic andheterotopic kidney transplantation in rat"," Chinese Journal of Clinical Anatomy"," Objective To investigate the simple spacial 3ds Max model reconstructingorthotopic and heterotopic kidney transplantation in rat.Methods Basedon the anatomic structures of rat,the following organs,such askidney,adrenal gland,blood vessel,bladder,airtubs and glandulathyreoidea were reconstructed using the commands of loft,booleancontroler,poly select,bevel profile,lethe et al.Those virtual organswere then merged into the abdomen and neck scenes,at the sametime,installed free camera was used to get 3D images afterrendering.Results Organs related with kidney transplanation werereconstructed and simulated the scenes in situ,right iliac fossa as wellas anterior site of neck successfully,which can provide reliablereferences for improving surgery effects of animal operation.ConclusionsThe 3D model building methods of non geometric shape organs and scenesof 3ds Max have the advantages of repeatibility and easy to perform inpersonal computer.",NA," 2012"
" J"," Cristina Majarena-Bello, AnaSantolaria-Mazo, JorgeSamper-Carnicer, DavidJose Aguilar-Martin, Juan"," Backlash, positioning repeatability and preload analysis of a parallelmechanism"," DYNA"," Given to the complexity of mathematical models in parallel mechanisms, aprevious analysis of system characteristic errors is necessary. Thispaper determines backlash and positioning repeatibility of a two rotarydegrees of freedom parallel mechanism and analyses the needed preload toincrease system accuracy firstly the specialized bibliography in thedesign and characterization of mechanisms based on parallel kinematic isreviewed in the majority of the analysed studies, errors such asbacklash are absorbed by the kinematic model without characterizingcomponents or analysing which is the most determining system errors.Subsequently the methodology used for the characterization of thepositioning system components is presented. To do this, procedures anddevices used for each measuring system are described and the differentmeasurement systems such as optical lineal sensors laser interferometerand inductive probes, are presented Results obtained show that actuatorbacklash errors are around 45 mu m having and error deviation of 3 mu m.The application of a contract on preload on the spherical ball jointallows us to obtain a backlash lesser than 3 mu m and therefore, toincrease the positioning system accuracy. Finally the two degrees offreedom parallel mechanism intended to be used in metrology applicationand machining tool processes, has been characterized by means of acoordinate measuring machine. The mechanism characterization developedwill allow us to determine geometric parameters in the mechanismcalibration phase as well as to develop, subsequently correctionprocedure according to the needed preload to increase system accuracy.",NA," 2011"
