"PT","AU","TI","SO","AB","DI","PY"
" J"," Sherman, Ryne A.Serfass, David G."," The comprehensive approach to analyzing multivariate constructs"," JOURNAL OF RESEARCH IN PERSONALITY"," Many psychological constructs of interest to personality psychologists,such as personality, behavior, and emotions, are made up of manyvariables. Moreover, similarity metrics, such as self-other agreement,profile similarity, or behavioral consistency, result from calculationsconducted across many variables. When analyzed using a comprehensiveapproach, such multivariate constructs present unique analyticchallenges. Such challenges are not well addressed in standard graduatestatistics textbooks or presently available in standard commercialsoftware. This article introduces the 'multicon' package, freelyavailable in the R statistical package, designed to aid researchersinterested in taking a comprehensive approach to analyzing multivariateconstructs. Realistic examples from personality psychology are providedto demonstrate the utility of this package. (C) 2014 Elsevier Inc. Allrights reserved."," 10.1016/j.jrp.2014.05.002"," 2015"
" J"," Fantini-Hauwel, CaroleDovi, ElianeAntoine, Pascal"," Validation of the short-cognitive inventory of subjective distress(S-CISD)"," INTERNATIONAL PSYCHOGERIATRICS"," Background: This investigation aimed to develop a screening tool basedon the Cognitive Inventory of Subjective Distress (CISD). Two studieswere designed in order to test the second-order factorial structure ofthe CISD, to shorten its length and to assess its replicability on asecond large independent sample.Methods: We recruited a first sample (n = 290) living at home or inretirement centers and a second community-based sample (n = 1,429). Thefirst sample completed the original CISD as well as cognitive, autonomy,anxiety, and depression assessments. The second sample completed theShort-CISD (S-CISD).Results: Factor analyses supported a second-order factorial structureallowing to engage in a refinement of the scale. We retained seven itemscorresponding to a dimension of cognitive schemas. Confirmatory FactorAnalysis (CFA) demonstrated that the S-CISD exhibited satisfyingpsychometric properties as well as factorial replicability andstructural invariance in two different samples. Further, the internalconsistency of the S-CISD is acceptable.Conclusion: The S-CISD is a relevant screening tool for rapidlyassessing psychological distress. It is directed towards old and veryold individuals either living at home or in a retirement center, whilealso taking into account the fatigability and potential cognitiveimpairment of this population. This screening tool can be confidentlyused for psychopathological assessment and can serve as a baseline forfollowing patients over time or in the course of therapy."," 10.1017/S104161021400194X"," 2015"
" J"," Au, Angel Hoe ChiMountjoy, Toby JamesMan, Kathleen Lai PingLeaf, Justin B.Leaf, Ronald B.Taubman, MitchellMcEachin, John"," A Programmatic Description of an International Private BehaviorallyOrientated Autism School"," EDUCATION AND TREATMENT OF CHILDREN"," In Hong Kong, today's students diagnosed with an Autism SpectrumDisorder (ASD) receive their educational intervention through the publicschool system. This paper describes an application of a behaviorallybased model to the only privately funded autism school in Hong Kong thatserves up to 70 students diagnosed with ASD. General information aboutthe school, information about the students enrolled in the 2011 to 2012school year, teacher recruitment, teacher training, classroom set up,curriculum, and preliminary results for the 2011 to 2012 school yearwill be provided. In addition, we will provide implications andrecommendations for teachers and school administrators, as well asissues surrounding replicability of the school in the United States.",NA," 2015"
" J"," Arnedo, JavierSvrakic, Dragan M.del Val, CoralRomero-Zaliz, RocioHernandez-Cuervo, HelenaFanous, Ayman H.Pato, Michele T.Pato, Carlos N.de Erausquin, Gabriel A.Cloninger, C. RobertZwir, Igor"," Uncovering the Hidden Risk Architecture of the Schizophrenias:Confirmation in Three Independent Genome-Wide Association Studies"," AMERICAN JOURNAL OF PSYCHIATRY"," Objective: The authors sought to demonstrate that schizophrenia is aheterogeneous group of heritable disorders caused by different genotypicnetworks that cause distinct clinical syndromes.Method: In a large genome-wide association study of cases withschizophrenia and controls, the authors first identified sets ofinteracting single-nucleotide polymorphisms (SNPs) that cluster withinparticular individuals (SNP sets) regardless of clinical status. Second,they examined the risk of schizophrenia for each SNP set and testedreplicability in two independent samples. Third, they identifiedgenotypic networks composed of SNP sets sharing SNPs or subjects.Fourth, they identified sets of distinct clinical features that clusterin particular cases (phenotypic sets or clinical syndromes) withoutregard for their genetic background. Fifth, they tested whether SNP setswere associated with distinct phenotypic sets in a replicable manneracross the three studies.Results: The authors identified 42 SNP sets associated with a 70% orgreater risk of schizophrenia, and confirmed 34 (81%) or more withsimilar high risk of schizophrenia in two independent samples. Seventeennetworks of SNP sets did not share any SNP or subject. These disjointgenotypic networks were associated with distinct gene products andclinical syndromes (i.e., the schizophrenias) varying in symptoms andseverity. Associations between genotypic networks and clinical syndromeswere complex, showing multifinality and equifinality. The interactivenetworks explained the risk of schizophrenia more than the averageeffects of all SNPs (24%).Conclusions: Schizophrenia is a group of heritable disorders caused by amoderate number of separate genotypic networks associated with severaldistinct clinical syndromes."," 10.1176/appi.ajp.2014.14040435"," 2015"
" J"," O'Connor, Daniel P.Lee, Rebecca E.Mehta, ParasThompson, DebbeBhargava, AlokCarlson, ColeenKao, DennisLayne, Charles S.Ledoux, TraceyO'Connor, TeresiaRifai, HanadiGulley, LaurenHallett, Allen M.Kudia, OusswaJoseph, SitaraModelska, MariaOrtega, DanaParker, NathanStevens, Andria"," Childhood Obesity Research Demonstration Project: Cross-Site EvaluationMethods"," CHILDHOOD OBESITY"," Introduction: The Childhood Obesity Research Demonstration (CORD)project links public health and primary care interventions in threeprojects described in detail in accompanying articles in this issue ofChildhood Obesity. This article describes a comprehensive evaluationplan to determine the extent to which the CORD model is associated withchanges in behavior, body weight, BMI, quality of life, and healthcaresatisfaction in children 2-12 years of age.Design/Methods: The CORD Evaluation Center (EC-CORD) will analyze thepooled data from three independent demonstration projects that eachintegrate public health and primary care childhood obesityinterventions. An extensive set of common measures at the family,facility, and community levels were defined by consensus among the CORDprojects and EC-CORD. Process evaluation will assess reach, dosedelivered, and fidelity of intervention components. Impact evaluationwill use a mixed linear models approach to account for heterogeneityamong project-site populations and interventions. Sustainabilityevaluation will assess the potential for replicability, continuation ofbenefits beyond the funding period, institutionalization of theintervention activities, and community capacity to support ongoingprogram delivery. Finally, cost analyses will assess how much benefitcan potentially be gained per dollar invested in programs based on theCORD model.Conclusions: The keys to combining and analyzing data across multipleprojects include the CORD model framework and common measures for thebehavioral and health outcomes along with important covariates at theindividual, setting, and community levels. The overall objective of thecomprehensive evaluation will develop evidence-based recommendations forreplicating and disseminating community-wide, integrated public healthand primary care programs based on the CORD model."," 10.1089/chi.2014.0061"," 2015"
" J"," Hu, NanWang, GeWu, Yu-HaoChen, Shi-FengLiu, Guo-DongChen, ChuanWang, DongHe, Zhong-ShiYang, Xue-QinHe, YongXiao, Hua-LiangHuang, Ding-DeXiong, Kun-LinWu, YanHuang, MingYang, Zhen-Zhou"," LDA-SVM-Based EGFR Mutation Model for NSCLC Brain Metastases AnObservational Study"," MEDICINE"," Epidermal growth factor receptor (EGFR) activating mutations are apredictor of tyrosine kinase inhibitor effectiveness in the treatment ofnon-small-cell lung cancer (NSCLC). The objective of this study is tobuild a model for predicting the EGFR mutation status of brainmetastasis in patients with NSCLC.Observation and model set-up.This study was conducted between January 2003 and December 2011 in 6medical centers in Southwest China.The study included 31 NSCLC patients with brain metastases.Eligibility requirements were histological proof of NSCLC, as well assufficient quantity of paraffin-embedded lung and brain metastasesspecimens for EGFR mutation detection. The linear discriminant analysis(LDA) method was used for analyzing the dimensional reduction ofclinical features, and a support vector machine (SVM) algorithm wasemployed to generate an EGFR mutation model for NSCLC brain metastases.Training-testing-validation (3 : 1 : 1) processes were applied to findthe best fit in 12 patients (validation test set) with NSCLC and brainmetastases treated with a tyrosine kinase inhibitor and whole-brainradiotherapy.Primary and secondary outcome measures: EGFR mutation analysis inpatients with NSCLC and brain metastases and the development of aLDA-SVM-based EGFR mutation model for NSCLC brain metastases patients.EGFR mutation discordance between the primary lung tumor and brainmetastases was found in 5 patients. Using LDA, 13 clinical features weretransformed into 9 characteristics, and 3 were selected as primaryvectors. The EGFR mutation model constructed with SVM algorithms had anaccuracy, sensitivity, and specificity for determining the mutationstatus of brain metastases of 0.879, 0.886, and 0.875, respectively.Furthermore, the replicability of our model was confirmed by testing 100random combinations of input values.The LDA-SVM-based model developed in this study could predict the EGFRstatus of brain metastases in this small cohort of patients with NSCLC.Further studies with larger cohorts should be carried out to validateour findings in the clinical setting."," 10.1097/MD.0000000000000375"," 2015"
" J"," Kong, WeiliLiu, LirongWang, YuHe, QimingWu, SizheQin, ZhihuaWang, JinliangSun, HongleiSun, YipengZhang, RuiPu, JuanLiu, Jinhua"," C-terminal elongation of NS1 of H9N2 influenza virus induces a highlevel of inflammatory cytokines and increases transmission."," The Journal of general virology"," H9N2 avian influenza viruses are enzootic around the world and caninfect many different avian and mammalian hosts, including humans.Unlike the H9N2 viruses, which mainly originated in other countries andpossess a non-structural protein 1 (NS1) of 230 aa, 98 % of the H9N2viruses isolated in China lack the 13 aa at the C terminus of NS1 (217aa in total). The biological significance of NS1 elongation remainselusive. To examine the effect of NS1 C-terminal elongation in theinfluenza virus, we used reverse genetics to generate a wt avianinfluenza H9N2 virus containing a 217 aa NS1 (H9N2NS1217) and two mutantviruses with elongated NS1s of 230 and 237 aa (H9N2NS1230 andH9N2NS1237). C-terminal elongation of NS1 did not have a significantimpact on virus replication in Madin-Darby canine kidney cells or DF-1cells. The three variants exhibited similar replicability in mice;however, the H9N2NS1230 and H9N2NS1237 variants exhibited anupregulation in the level of inflammatory cytokines. In addition, boththe H9N2NS1230 and H9N2NS1237 viruses increased replication and induceda high level of inflammatory cytokines and transmission in chickens,compared with the wt virus. These findings suggest that the NS1extension conferred a gain of fitness to some extent. "," 10.1099/vir.0.071001-0"," 2015"
" J"," Stankov, LazarSaucier, Gerard"," Social Axioms in 33 Countries: Good Replicability at the Individual ButLess So at the Country Level"," JOURNAL OF CROSS-CULTURAL PSYCHOLOGY"," In this article, we report on an attempt to replicate findings withsocial axioms. Participants from 33 countries (total N = 7,825) weregiven a 30-item questionnaire based on the work of Leung et al. Severaldifferent methods of factor analysis were used, and individual-level aswell as the aggregated (nation-level) data were examined. Thefive-factor structure of social axioms did replicate at the individuallevel. At the country and world regions level of analysis, however, ourfindings differ from what has been reported previously. As before, themost pronounced arithmetic mean differences were obtained onReligiosity, with South East Asian region and Malaysia in particularscoring high and Western Europe, especially Spain, being low. Eventhough cross-cultural differences in Social Complexity were notpronounced, they are comparable in size with what has been reported forsocial attitudes. Differences between world regions on Social Cynicism,Fate Control, and Reward for Application were in-between those forReligiosity and Social Complexity. These results indicate that socialaxioms are useful constructs for cross-cultural comparisons."," 10.1177/0022022114558333"," 2015"
" J"," Rochelle, Tina L.Yim, K. H."," Assessing the Factor Structure of the Chinese Conformity to MasculineNorms Inventory"," JOURNAL OF PSYCHOLOGY"," The purpose of the present study was to examine the factor structure andassess the reliability of the Chinese Conformity to Masculine NormsInventory-46 (CCMNI-46). Using a cohort of 254 Hong Kong-born Chinesemales, scale reliability determination involved the internalconsistencies of the entire instrument. Ages of respondents ranged from18 to 81years (M = 38.05; SD = 17.3). Confirmatory factor analysisprovided support for the psychometric properties of the CCMNI-46, thusconfirming the multidimensional structure of the CMNI-46 and thereplicability of the CMNI using a Hong Kong Chinese sample. All itemsloaded onto the corresponding factor with the exception of one item fromthe emotional control subscale. The overall reliability of the CCMNI-46was lower than previous Western studies and may well reflect the subtlediversity of masculinity across cultures. The findings offeredpsychometric support for use of the CCMNI-46 in research and practiceregarding Hong Kong Chinese masculinity. The CCMNI-46 provides a usefultemplate for the operationalization of masculine norms in Chinesesociety."," 10.1080/00223980.2013.837023"," 2015"
" J"," Schubert, Jessica R.Coles, Meredith E."," The experience and impact of intrusive thoughts in individuals with latebedtimes"," BIOLOGICAL RHYTHM RESEARCH"," There is increasing awareness of the interplay among sleep, circadianrhythms, and psychopathology. Recent findings show thatobsessive-compulsive disorder (OCD) is associated with late bedtimes.Sleep disruption may exacerbate impairments in executive functioning inindividuals with OCD, making these individuals vulnerable toexperiencing intrusive thoughts that come from ""out of the blue""(autogenous obsessions; AO) and to having difficulty dismissing them.The current study investigated types of intrusive thoughts experiencedby individuals with (DB) and without (NDB) delayed bedtimes. Bedtime,and AO (uncued, affectively negative) vs. reactive obsessions (RO;triggered by environment, affectively neutral) were examined in 212adults. As hypothesized, individuals with DB reported more frequentintrusive thoughts, as well as more AO, than NDB individuals.Additionally, DB participants reported a greater urge to neutralizeintrusive thoughts than NDB participants. Future work should test thereplicability of these findings and explore circadian disruptions in OCDusing biological markers."," 10.1080/09291016.2014.948741"," 2015"
" P"," DAI CLUO M"," Ink printing machine water circulation device, has water tank arrangedwith water inlet pipeline and water outlet pipeline, conveying pumparranged in water inlet pipeline, and drain valve connected with drainpipe",NA," NOVELTY - This new type utility claims packing paper print device field,especially one ink printing machine is a water circulation device,including ink printing machine, water tank, set with water inletpipeline and water outlet pipeline between a water tank and ink printingmachine set with conveying pump in a water inlet pipeline, a conveyingpump the inner water tank of water conveying to ink printing machine,set with a filter at the water inlet pipeline, the upper water pipelinein connection with a drain pipe, drain valve and set with the pipeconnecting the water in a drain pipe. Water circulation device of inkprinter, this set through a filter, a water circulation device inner ofthe impurity filter glass in water, increase the use life of the waterglass. For aiming at existing a need for a water circulation devicecarry on condition of each a clean, the water circulation device of eachperiphery only needs to carry out a one time, and a stable is the effectof a print, a print, print replicability is good.",NA,NA
" P"," GAO SJIN LLIU JLIU KLIU ZSHEN HWANG YWU FWANG ZZHAO HZHANG XCHU ZHAO D"," High diameter area melting silicon single crystal manufacturing method,involves cleaning rod material that is placed in inner area of meltingfurnace, and performing multi-crystal material slowly cooling process inclean furnace",NA," NOVELTY - The method involves cleaning a polycrystalline rod materialthat is placed in an inner area of a melting furnace by a seed crystalfixing clamping head of a crystal holder. The polycrystalline rodmaterial is arranged in a pre-heating ring for performing pumping andinflation process. The furnace argon gas filling process is stopped wheninner pressure of the furnace reaches 2.6-6.5bar. The polycrystallinerod material melting process is performed for shaping and seedingprocess. Multi-crystal material slowly cooling process is performed fromred to black in a clean furnace.USE - High diameter area melting silicon single crystal manufacturingmethod.ADVANTAGE - The method enables reducing high diameter polycrystallinemelting difficulty without cause stack of material so as to reduceprocess repeatability, improving crystal dislocation rate, isometricpass percent and replicability and reducing labor intensity.DESCRIPTION Of DRAWING(S) - The drawing shows a graphical viewillustrating a high diameter area melting silicon single crystalmanufacturing method.'(Drawing includes non-English language text)'",NA,NA
" J"," Savalei, VictoriaDunn, Elizabeth"," Is the call to abandon p-values the red herring of the replicabilitycrisis?"," Frontiers in psychology",NA," 10.3389/fpsyg.2015.00245"," 2015"
" J"," Weidmann, Nils B.Rod, Espen Geelmuyden"," Making uncertainty explicit: Separating reports and events in the codingof violence and contention"," JOURNAL OF PEACE RESEARCH"," When coding events from media sources - as the majority of data projectsdo - different reports may oftentimes contain contradictory information.What do coders make of this? It is up to them to aggregate differentreports into one coded event, and to supplement missing informationbased on other sources or their own background information. If notaddressed properly, this may lead to a lack of replicability and to lowreliability of the final data product. In this short article, we presentan approach for separating (i) event reports and the informationcontained in them, and (ii) events, which are based on aggregateinformation from the reports and constitute the final data product. Ourprocedure preserves uncertainty arising from multiple reports and givesthe user control over how missing and conflicting information should bedealt with. We illustrate our procedure with data from a current codingproject, the Mass Mobilization in Autocracies Database (MMAD)."," 10.1177/0022343314523807"," 2015"
